date,category,amount,type,description
2026-03-01,Salary,3200.00,income,Monthly salary deposit
2026-03-02,Rent,1200.00,expense,Apartment rent payment
2026-03-03,Groceries,86.45,expense,Weekly supermarket shopping
2026-03-04,Transport,28.00,expense,Bus and taxi fares
2026-03-05,Freelance,450.00,income,Logo design side project
2026-03-06,Entertainment,32.50,expense,Movie night
2026-03-07,Utilities,95.20,expense,Electricity and water bill
2026-03-08,Savings,400.00,expense,Transfer to emergency fund
2026-03-09,Dining,24.80,expense,Lunch with friends
2026-03-10,Groceries,41.30,expense,Fruit and household items
